date,volume,turnover,open,open,high,lable,low,close
2023/2/15 14:00,11303,160344560,708867,14270,14290,14265,14265,14285
2023/2/15 14:10,6946,99814020,708331,14280,14295,14270,14270,14295
2023/2/15 14:20,10400,149448000,707568,14295,14315,14285,14285,14295
2023/2/15 14:30,9711,137639720,706227,14295,14295,14265,14265,14280
2023/2/15 14:40,9400,135031000,705230,14280,14335,14270,14270,14330
2023/2/15 14:50,15136,217428640,702807,14330,14350,14320,14320,14350
2023/2/16 20:55,766,10976780,704534,14350,14350,14330,14330,14330
2023/2/16 21:00,35708,510419050,705643,14325,14330,14270,14270,14285
2023/2/16 21:10,13977,200053470,706206,14285,14320,14280,14280,14305
2023/2/16 21:20,14349,204866700,707812,14305,14305,14265,14265,14270
2023/2/16 21:30,14041,200321890,708253,14270,14295,14255,14255,14285
2023/2/16 21:40,15173,216352100,710533,14280,14285,14240,14240,14255
2023/2/16 21:50,7943,113465755,710260,14260,14280,14255,14255,14275
2023/2/16 22:00,5822,83167270,710528,14275,14280,14260,14260,14280
2023/2/16 22:10,5491,78438935,710455,14275,14290,14260,14260,14265
2023/2/16 22:20,4068,58111380,710760,14270,14275,14260,14260,14265
2023/2/16 22:30,7593,107841350,710564,14265,14275,14255,14255,14275
2023/2/16 22:40,6800,97104000,710960,14275,14275,14250,14250,14260
2023/2/16 22:50,11872,169532160,710647,14255,14265,14230,14230,14240
2023/2/17 9:00,22698,322464430,711965,14235,14250,14210,14210,14240
2023/2/17 9:10,14156,202006120,711791,14240,14280,14240,14240,14255
2023/2/17 9:20,4786,68296220,711866,14255,14265,14250,14250,14255
2023/2/17 9:30,9878,140959060,712444,14255,14265,14225,14225,14235
2023/2/17 9:40,3464,49431280,712360,14235,14245,14230,14230,14235
2023/2/17 9:50,6029,85977705,712402,14235,14240,14220,14220,14225
2023/2/17 10:00,19332,274651250,712286,14220,14225,14180,14180,14190
2023/2/17 10:10,11940,170264400,713535,14190,14230,14175,14175,14230
2023/2/17 10:31,6174,88041240,712701,14230,14235,14210,14210,14220
2023/2/17 10:40,11121,157319555,711211,14220,14255,14220,14220,14250
2023/2/17 10:50,5399,76962745,711446,14245,14255,14235,14235,14235
2023/2/17 11:00,7197,102593235,711558,14235,14240,14200,14200,14205
2023/2/17 11:10,8045,114681475,713498,14205,14215,14190,14190,14205
2023/2/17 11:20,7129,101623895,714016,14205,14215,14185,14185,14195
2023/2/17 13:30,8943,126032995,714692,14195,14215,14185,14185,14195
2023/2/17 13:40,9007,128349750,714174,14190,14220,14185,14185,14215
2023/2/17 13:50,5469,77933250,715197,14220,14220,14190,14190,14190
2023/2/17 14:00,9431,134391750,715633,14190,14230,14185,14185,14210
2023/2/17 14:10,5770,81665085,715645,14210,14225,14200,14200,14205
2023/2/17 14:20,6127,87279115,715359,14210,14210,14185,14185,14195
2023/2/17 14:30,5010,71367450,715022,14190,14215,14190,14190,14205
2023/2/17 14:40,13390,190740550,714560,14205,14205,14160,14160,14170
2023/2/17 14:50,19341,273695350,710014,14175,14185,14155,14155,14170
2023/2/17 20:55,2325,32898750,709200,14170,14170,14150,14150,14150
2023/2/17 21:00,31944,451836255,711416,14140,14165,14130,14130,14155
2023/2/17 21:10,20379,288807435,714988,14160,14185,14145,14145,14150
2023/2/17 21:20,6872,97273160,714898,14150,14170,14145,14145,14160
2023/2/17 21:30,12464,176797840,717284,14165,14190,14160,14160,14190
2023/2/17 21:40,5291,74920560,717750,14190,14190,14175,14175,14180
2023/2/17 21:50,12124,172132835,718557,14185,14220,14170,14170,14215
2023/2/17 22:00,37789,538510885,721077,14215,14280,14205,14205,14270
2023/2/17 22:10,34738,496210740,720933,14270,14315,14265,14265,14290
2023/2/17 22:20,13838,197526800,719848,14290,14290,14260,14260,14275
2023/2/17 22:30,11165,159655120,719706,14270,14295,14265,14265,14275
2023/2/17 22:40,11328,161084160,718118,14270,14275,14245,14245,14255
2023/2/17 22:50,18709,267136810,715649,14255,14275,14225,14225,14270
2023/2/20 9:00,22374,318270150,714698,14265,14290,14240,14240,14285
2023/2/20 9:10,8752,125747660,715447,14285,14285,14255,14255,14265
2023/2/20 9:20,8406,119617380,715775,14270,14270,14245,14245,14250
2023/2/20 9:30,6984,99382320,716277,14245,14260,14235,14235,14245
2023/2/20 9:40,11093,157853390,716077,14245,14265,14220,14220,14260
2023/2/20 9:50,4523,64362290,716213,14265,14265,14240,14240,14250
2023/2/20 10:00,9003,128112690,715936,14245,14255,14230,14230,14240
2023/2/20 10:10,7208,102569840,715905,14240,14275,14235,14235,14260
2023/2/20 10:31,9428,135694125,716103,14265,14290,14255,14255,14280
2023/2/20 10:40,7425,105694875,716132,14280,14285,14250,14250,14260
2023/2/20 10:50,4137,58890195,716345,14260,14275,14255,14255,14265
2023/2/20 11:00,3697,52626795,716488,14265,14270,14250,14250,14265
2023/2/20 11:10,8943,127303605,717226,14260,14300,14250,14250,14300
2023/2/20 11:20,23253,332777415,717552,14295,14335,14280,14280,14315
2023/2/20 13:30,22939,330422670,716768,14320,14380,14320,14320,14355
2023/2/20 13:40,12463,177597750,716050,14360,14375,14345,14345,14365
2023/2/20 13:50,8233,119309385,715739,14365,14375,14345,14345,14360
2023/2/20 14:00,6480,92372400,714967,14360,14375,14355,14355,14370
2023/2/20 14:10,12172,175594255,712843,14370,14390,14355,14355,14375
2023/2/20 14:20,8380,119498800,711651,14375,14380,14340,14340,14350
2023/2/20 14:30,8542,123975925,710980,14350,14380,14350,14350,14370
2023/2/20 14:40,5730,81738450,710914,14365,14370,14350,14350,14360
2023/2/20 14:50,11035,157414275,707604,14360,14370,14350,14350,14370
2023/2/20 20:55,1768,25379640,707370,14370,14370,14355,14355,14355
2023/2/20 21:00,58820,848602260,712453,14370,14480,14360,14360,14470
2023/2/20 21:10,28757,415266450,713367,14470,14480,14435,14435,14445
2023/2/20 21:20,19858,287096955,714329,14450,14465,14430,14430,14450
2023/2/20 21:30,11169,161224515,714868,14445,14455,14435,14435,14435
2023/2/20 21:40,6861,99038535,714617,14435,14445,14430,14430,14440
2023/2/20 21:50,11094,160141890,713881,14435,14440,14415,14415,14425
2023/2/20 22:00,12098,174634630,714059,14425,14435,14400,14400,14425
2023/2/20 22:10,8646,124805010,713927,14420,14450,14420,14420,14445
2023/2/20 22:20,6101,88067935,713800,14445,14450,14430,14430,14440
2023/2/20 22:30,4140,59760900,713706,14440,14450,14435,14435,14445
2023/2/20 22:40,5441,78540835,713563,14445,14445,14425,14425,14425
2023/2/20 22:50,7381,106544735,712057,14425,14450,14420,14420,14440
2023/2/21 9:00,18317,264405895,712546,14450,14470,14430,14430,14440
2023/2/21 9:10,7103,102531805,712741,14445,14460,14435,14435,14450
2023/2/21 9:20,9752,140770120,713394,14445,14455,14410,14410,14420
2023/2/21 9:30,9492,137017020,713697,14420,14430,14405,14405,14420
2023/2/21 9:40,19556,282223840,713382,14415,14420,14380,14380,14405
2023/2/21 9:50,7866,113506380,713755,14410,14410,14380,14380,14390
2023/2/21 10:00,13319,192193170,713844,14395,14405,14365,14365,14400
2023/2/21 10:10,5307,76580010,713721,14400,14420,14400,14400,14415
2023/2/21 10:31,8321,120072030,714526,14415,14435,14410,14410,14410
2023/2/21 10:40,4069,58715670,714928,14410,14420,14400,14400,14410
2023/2/21 10:50,5994,86493420,715593,14410,14435,14400,14400,14400
2023/2/21 11:00,12433,177889875,714787,14405,14435,14400,14400,14420
2023/2/21 11:10,6920,99821000,715247,14420,14420,14395,14395,14415
2023/2/21 11:20,6737,97181225,714534,14420,14425,14400,14400,14415
2023/2/21 13:30,7534,108677950,714383,14420,14430,14405,14405,14425
2023/2/21 13:40,7687,110884975,714291,14425,14445,14420,14420,14430
2023/2/21 13:50,5417,78140225,713646,14430,14440,14420,14420,14430
2023/2/21 14:00,7349,106009325,712180,14430,14440,14415,14415,14425
2023/2/21 14:10,5936,85626800,712151,14430,14445,14420,14420,14435
2023/2/21 14:20,9005,129897125,711739,14435,14460,14430,14430,14450
2023/2/21 14:30,6480,95307640,711292,14450,14460,14445,14445,14450
2023/2/21 14:40,9626,138903180,710437,14455,14465,14450,14450,14460
2023/2/21 14:50,11539,166507770,706489,14460,14465,14450,14450,14460
2023/2/21 20:55,1796,25988120,706396,14460,14470,14460,14460,14470
2023/2/21 21:00,31184,450243080,709191,14470,14470,14410,14410,14440
2023/2/21 21:10,18078,261556900,710717,14445,14475,14445,14445,14450
2023/2/21 21:20,12020,173373610,711649,14445,14450,14420,14420,14435
2023/2/21 21:30,16584,239157570,712389,14435,14445,14405,14405,14410
2023/2/21 21:40,14596,210689600,714461,14410,14425,14390,14390,14400
2023/2/21 21:50,7769,112145515,715280,14400,14435,14400,14400,14430
2023/2/21 22:00,17334,250216290,715360,14425,14465,14425,14425,14450
2023/2/21 22:10,14992,217081285,716392,14445,14470,14440,14440,14465
